ticker,return,max_drawdown,sharpe
HLC,-5.174853117456113,-0.2515910372680942,0.07295559095588029
HLD,35.310175301177104,-0.39856981941803954,0.5888644748156154
HLY,-31.25000000000001,-0.35757575757575766,-0.464695546569538
HMC,32.29298540689194,-0.19852941176470626,0.5919756702674368
HMG,-28.317359422796308,-0.45765258812153353,-0.2436799983967102
HMH,45.57391606571941,-0.23170731707317088,0.5346747503606479
HNB,12.35233692860822,-0.3333333333333333,0.42118774639724266
HND,-7.151441153964089,-0.3120598957009173,-0.11019379167098121
HNF,105.25839596504336,-0.34809980532840834,0.7942423299146175
HNG,75.81081081081133,-0.33292816336453124,0.7478516025089245
HNM,-8.492071937852486,-0.26489409643983725,-0.09586279983488931
HNP,-42.94544411372946,-0.5560669056296281,-0.32983371621442453
HOM,14.999999999999702,-0.20370370370370353,0.3399808759896954
HOT,11.038961038960915,-0.4460317460317462,0.37388033051063974
HPB,31.253315389976954,-0.3076923076923077,0.45557092207215866
HPD,-11.301270420594866,-0.3251509642287497,-0.10240586602042508
HPG,32.00396017160689,-0.2804054054054043,0.6288557495330145
HPM,0.0,0.0,
HPP,43.59607536293046,-0.20916248951229452,0.5517990868558434
HPT,129.3942705070242,-0.40484633569739964,0.8681143195123341
HPW,27.275790133505563,-0.26818181818181797,0.44312773591458937
HQC,0.5263157894736858,-0.46186440677966145,0.14254000746338846
HRC,-37.25490196078438,-0.47090909090909133,-0.12044936307685361
HSA,8.896515311510012,-0.0485136814035938,0.4967748974118801
HSG,-1.8604217694433323,-0.49249007107575005,0.1100456622111803
HSI,-50.00000000000002,-0.6086105675146771,-0.4721074658835923
HT1,43.77510040160677,-0.3450704225352105,0.7075076310520712
HTC,51.154564770902496,-0.28704626736915545,0.5626898281328931
HTI,61.066726377362016,-0.0882956878850104,1.1979716936935947
HTL,165.45443393027682,-0.23452768729641668,1.2681586668490763
HTP,-90.69767441860463,-0.954356846473029,-1.6021796036071059
HTV,48.31356758981988,-0.16700000000000037,0.7245514279769786
HU1,-11.486843994578965,-0.3880422039859316,0.10578550898931267
HU3,-8.860759493670688,-0.4248458149779731,0.23334292423238917
HU4,-1.95315462212875,-0.2895799676898229,0.14837476250874368
HU6,-15.625000000000123,-0.4712643678160925,0.21637233259263727
HUT,2.4054282976863073,-0.37305699481865184,0.15715874369521568
HVA,445.3488372093016,-0.38555356955104614,1.399838626124648
HVG,0.0,0.0,
HVN,248.09831643933592,-0.4759284731774414,1.471863402311425
HVT,75.57482434736534,-0.3768421052631571,0.809499923218426
HVX,-7.886435331230313,-0.24290220820189268,-0.0017722620522676426
IBC,0.0,0.0,
ICC,121.97460115320662,-0.3181818181818182,0.7782150718126795
ICF,20.845921450151117,-0.7055294117647055,0.42116813461011987
ICG,83.3119246414046,-0.22829133744579339,0.893129661015925
ICI,68.68496750594824,-0.4816173013634227,0.6598893856436189
ICN,61.14409348606251,-0.2548006919467852,0.8954880762706028
IDI,-16.357169308231544,-0.5063953501536288,-0.12356377713723582
IDJ,14.754098360655421,-0.5609756097560984,0.3337412225370333
IDV,-3.034386070127948,-0.35428571428571426,0.04724664176782809
IFS,-5.993386414783886,-0.37316471050405964,0.11004168239197254
IHK,66.11570247933886,-0.3383084577114428,0.6349908681721684
IJC,18.0022536851284,-0.33855799373040757,0.373584893435014
ILC,-2.79994197011465,-0.4058500914076784,0.408209355906267
IME,0.0,0.0,
IMP,112.27498269830912,-0.27161654135338376,1.210820708127405
IN4,-17.750719811288086,-0.6915985000925862,0.24809705838322593
INC,6.596116305352906,-0.45739508947580104,0.2242617690942719
INN,46.43952485482525,-0.12520593080724862,0.6551715951010091
IPA,54.838709677419196,-0.41954022988505824,0.663086250593991
ISG,51.724137931034385,-0.12499999999999999,0.922158813296371
ISH,65.94840950743821,-0.2407484407484409,0.6772577045180541
IST,102.31608930080442,-0.3134328358208957,0.7309239742385728
ITA,-61.21416526138278,-0.6912751677852347,-1.4064643847707512
ITC,52.65700483091733,-0.29285714285714465,0.6832090781102407
ITD,49.21071330751185,-0.44221105527638244,0.6604470732868221
ITQ,19.230769230769297,-0.3947368421052625,0.3670264465213408
ITS,15.807630903587523,-0.3546314631037158,0.35402383766231793
IVS,-3.669846668969967,-0.3916083916083934,0.09821656469342714
JVC,48.52546916890033,-0.30742049469964694,0.6808726520774684
KAC,0.0,0.0,
KBC,25.67353407290025,-0.4293628808864258,0.45112949476730746
KCB,51.09527123666491,-0.6178544477178822,0.5603574505474042
KDC,-14.078663588384089,-0.23787878787878852,-0.3870248136434246
KDH,42.23548055796906,-0.3291839557399723,0.6977043709821106
KDM,-25.200719658241532,-0.4441680724582495,-0.08319706554129179
KHD,84.72727272727244,-0.45425087405133474,0.7126471397740383
KHL,-22.22222222222222,-0.2222222222222222,-0.7050007596803723
KHP,43.16400736984809,-0.40259740259740223,0.6785037294258948
KHW,74.83447270403494,-0.4568894055321055,0.6963447785702377
KIP,43.809185344333955,-0.3268877005347595,0.5198333466637945
KKC,29.23076923076897,-0.49425287356321923,0.4479027493967845
KLF,0.0,0.0,
KMR,-14.36464088397792,-0.22038567493113048,-0.43047250815325394
KMT,58.47377356450898,-0.17272727272727265,0.9520904977953479
KOS,3.8873994638064957,-0.08074534161490719,0.2895204627484067
